AREA,DEPENDENCY DIMENSION,CURRENT EU STATUS,DEPENDENCY LEVEL (1-5),KEY VULNERABILITY,CHIPS ACT 2.0 MEASURE,COMPLEMENTARY CADA MEASURE,ESTIMATED INVESTMENT,TIMELINE,KEY EU PLAYERS,KEY NON-EU DEPENDENCIES,RISK IF UNADDRESSED,REFERENCE / SOURCE
LLMs,LLM Training Compute Infrastructure,"EU has 14 EuroHPC supercomputers + 19 AI Factories; access mechanisms include Playground (2 working days) and Fast Lane (50,000 GPU-hours); but scale insufficient vs. US frontier labs",4 - High,"Frontier LLM training requires 10,000-100,000+ GPU clusters; EU lacks such concentrated compute; EU AI labs (Mistral, Aleph Alpha) train on US cloud infrastructure","Chips Act 2.0 Demand Accelerators create procurement pathways for EU chips in AI training clusters; Grand Challenges target AI chip industrial development","CADA AI Gigafactories (each with min. 75,000 accelerators) designed specifically for frontier AI training; R&D support for next-gen cloud and AI technologies",Covered by CADA + semiconductor investment envelopes,AI Gigafactory call Jul 2026; operational target 2028-2030,"Mistral AI (France), Aleph Alpha (Germany), EuroHPC JU, national HPC centres","NVIDIA (GPUs), US cloud providers (training infrastructure), OpenAI/Anthropic/Google (model competition)",EU unable to train competitive frontier models domestically; dependent on US providers for foundational AI capabilities; strategic vulnerability in AI race,EU AI Infrastructure Report 2026; AI Continent Action Plan

LLMs,LLM Inference Chip Requirements,"LLM inference increasingly moves to edge and lower-power chips; EU has emerging strengths in low-power/embedded processors (ARM-based, RISC-V) but no scaled inference accelerator",4 - High,"Growing demand for efficient inference silicon as LLM deployment scales; EU lacks domestic inference-optimised accelerators; inference workloads represent growing share of AI chip market","Public innovation procurement allows public administrations to buy data centre racks with EU AI chips for inference validation; Demand Accelerators create market pull for EU inference silicon","CADA sovereignty framework incentivises EU-controlled AI inference (SEAL levels assess AI inference data processing location and control); open-source-first principle for public-sector AI software",Part of broader semiconductor and AI investment envelopes,Progressive; inference chip startups scaling 2026-2030,"Axelera AI (inference accelerators), SiPearl (HPC processors), RISC-V ecosystem in EU","NVIDIA (inference GPUs), AMD, Qualcomm (edge inference), Google (TPU inference), AWS (Inferentia/Trainium)",EU LLM deployment permanently reliant on foreign inference hardware; sovereignty framework undermined if inference runs on non-EU controlled silicon,EE Times June 2026; CADA sovereignty framework; Euronews draft analysis

LLMs,LLM Software Stack & Model Sovereignty,"EU has Mistral AI as leading open-weight model provider; most enterprise LLM deployment uses US models (OpenAI/GPT, Anthropic/Claude, Google/Gemini, Meta/Llama) on US infrastructure",3 - Moderate,"EU model ecosystem growing but far behind US in scale/investment; model training data governance unclear; fine-tuning and deployment typically on US cloud platforms","Chips Act 2.0 indirectly supports by creating domestic hardware substrate for model training/inference; linkage to EU Open Source Strategy","CADA open-source-first principle for public-sector AI procurement; sovereignty risk assessments must evaluate AI model control and data pipeline governance; SEAL levels assess AI model hosting jurisdiction",EUR 2bn R&D for cloud/AI technologies under CADA,Ongoing; CADA adoption Q2 2027,"Mistral AI, Aleph Alpha, various EU AI research labs (LAION, BLOOM legacy), Hugging Face (France/US)","OpenAI, Anthropic, Google DeepMind, Meta AI, xAI",EU enterprises and governments depend on US-controlled AI models with opaque training data and governance; strategic dependency on US AI ecosystem,EU Open Source Strategy; CADA proposal; COM(2026) 503 final

LLMs,LLM Memory & Interconnect Dependencies,"HBM (High Bandwidth Memory) essential for LLM training/inference; market dominated by SK Hynix, Samsung, Micron; EU has no HBM production; advanced interconnects (NVLink, InfiniBand) US-controlled",5 - Critical,"HBM supply constrained globally; EU entirely dependent on Korean/US memory manufacturers; networking fabric (InfiniBand/NVIDIA, Ethernet switches) also US/Asia-sourced","Strategic Projects can cover memory and interconnect facilities; B2B Supply Chain Platform improves visibility into memory supply risks; risk assessment guidance for exposed sectors","CADA strategic project designation may extend to facilities supporting AI infrastructure supply chain",Part of EUR 120bn semiconductor investment,Medium-to-long term (2028-2035),"EU memory R&D limited; some DRAM design capability in legacy European firms; interconnect R&D at research institutes","SK Hynix, Samsung, Micron (HBM); NVIDIA (NVLink, InfiniBand via Mellanox); Broadcom (networking ASICs)",Bottleneck for any EU AI infrastructure build-out; AI Gigafactories depend on non-EU memory and interconnect supply,COM(2026) 503 final; semiconductor industry analysis

QUANTUM,Quantum Chip Development & Pilot Lines,"EU operates 6 quantum pilot lines (superconducting, photonic, neutral atom, semiconducting/quantum dot, diamond-based, trapped ion); EUR 50m funding each; Chips JU coordinates",2 - Moderate,"Strong R&D base but limited path to industrial-scale quantum chip production; different qubit modalities require different fabrication processes; gap between lab and fab","Chips for Europe Initiative 2.0 supports quantum chip design libraries, pilot line industrialisation, cleanrooms, foundries for prototyping; EUR 20m call for quantum-enabling technologies (Jul-Sep 2026)","CADA indirectly supports by building data centre infrastructure that can host quantum-classical hybrid systems",EUR 300m+ for quantum pilot lines (6 x EUR 50m + enabling tech calls),Ongoing; quantum-enabling call Jul-Sep 2026,"IQM (Finland, superconducting), Pasqal (France, neutral atom), QuiX Quantum (Netherlands, photonic), Alpine Quantum Technologies (Austria, trapped ion)","IBM, Google, Amazon (Braket), IonQ, Quantinuum (US/UK)",EU loses first-mover advantage in quantum computing; dependent on US/China quantum platforms for future computation,Chips JU quantum pilot lines; QuIC Position Paper; PRADEEP's TECHPOINTS

QUANTUM,Quantum-Compatible Photonics,"PIXEurope pilot line supports photonic integrated circuits (PICs) but focused on telecom near-infrared wavelengths; quantum modalities (ion-trap, neutral-atom) need visible/UV range (295-800nm) not yet supported",3 - Moderate,"Photonic chips for quantum computing require non-standard wavelengths and materials incompatible with CMOS; fabrication limited to bespoke academic cleanrooms; not scalable to industrial reliability","Chips Act 2.0 reinforces photonics and photonic integrated circuits as priority area; pilot line support extended; industrialisation of existing quantum pilot lines","Not directly addressed by CADA",Part of Chips for Europe Initiative and quantum pilot line budgets,Progressive; aligned with broader pilot line timelines,"PIXEurope consortium, LioniX International (Netherlands), SMART Photonics (Netherlands), III-V Lab (France)","US photonic chip companies; Asian foundries with broader wavelength capabilities",Quantum computing platforms (ion-trap, neutral-atom) cannot scale commercially in EU without appropriate photonic chip supply; EU quantum advantage eroded,QuIC Position Paper Dec 2025; PIXEurope pilot line documentation

QUANTUM,Cryogenic & Quantum-Enabling Electronics,"EU has R&D in cryogenic control electronics, readout systems, and quantum interconnects; Chips JU call specifically targets enabling technologies (not QPUs themselves)",3 - Moderate,"Quantum processors require specialised control electronics operating at millikelvin temperatures; cryogenic CMOS, photonic interconnects, and packaging for modular quantum systems are nascent globally","Chips JU EUR 20m call for quantum-enabling technologies (Jul-Sep 2026); scope includes cryogenic electronics, photonic components, transduction, packaging for modular assemblies; must interface with EU foundries/pilot lines","Not directly addressed by CADA",EUR 20m (EUR 5-7m per project); 36-48 month project duration,Call opens Jul 2026; projects complete ~2030,"European quantum hardware startups, university spin-offs, Chips JU participants (EU/EEA + select partners: Canada, Israel, Korea, NZ, Switzerland, UK)","US quantum hardware companies with integrated control stacks; dilution refrigerator suppliers (Bluefors is Finnish - EU strength)",Without scaled enabling electronics quantum chips remain lab curiosities; system-level integration gap prevents commercialisation,Chips JU quantum-enabling call Feb 2026 presentation

QUANTUM,Quantum-Classical Hybrid Infrastructure,"EuroHPC operates 10 quantum systems alongside supercomputers; hybrid quantum-classical computing emerging as practical paradigm; cloud access to quantum via US platforms (IBM, Amazon Braket, Azure Quantum)",3 - Moderate,"EU quantum hardware exists but cloud-accessible quantum computing dominated by US platforms; integration of quantum accelerators into classical HPC/AI workflows requires middleware and orchestration software","Chips Act 2.0 Strategic Projects can support quantum-classical integration facilities; Demand Accelerators may extend to quantum-enhanced computing use cases","CADA data centre framework could accommodate quantum-ready facilities; R&D funding for next-gen computing technologies",Part of EuroHPC and CADA R&D budgets,Progressive; EuroHPC quantum integration ongoing,"EuroHPC JU, Atos/Eviden (France, quantum integration), IQM, Pasqal, European quantum software companies","IBM Quantum, Amazon Braket, Microsoft Azure Quantum, Google Quantum AI",EU researchers and enterprises access quantum computing through US cloud platforms; strategic dependency mirrors classical cloud dependency pattern,EuroHPC programme documentation; EU AI Infrastructure Report 2026

QUANTUM,Post-Quantum Cryptography Chip Readiness,"EU transition to post-quantum cryptography (PQC) requires new hardware security modules and crypto-accelerator chips; EU has strength in security chips (NXP, Infineon) but PQC-specific silicon is early-stage",2 - Moderate,"Quantum computers threaten current encryption; hardware must be upgraded with PQC algorithms; timeline pressure as quantum capability advances; EU has strong position in secure element chips","Chips Act 2.0 supports mainstream chip innovation including security applications; First-of-a-Kind provisions cover security-relevant semiconductor innovation; EU strength in automotive/industrial/security chips reinforced","CADA sovereignty framework SEAL levels include cybersecurity requirements that will increasingly need PQC compliance",Part of broader semiconductor investment,Progressive; PQC standardisation ongoing (NIST standards published 2024),"NXP Semiconductors (Netherlands), Infineon (Germany), STMicroelectronics (France/Italy), EU cryptography research community","NIST PQC standards (US-led but open); US chipmakers integrating PQC; potential advantage for EU security chip leaders",EU enterprises and governments vulnerable to harvest-now-decrypt-later attacks if PQC hardware transition delayed,NIST PQC standardisation; EU cybersecurity strategy

CROSS-CUTTING,Semiconductor Manufacturing Equipment,"ASML (Netherlands) holds global monopoly on EUV lithography; EU also strong in specialty equipment; but some critical tool segments (etch, deposition, inspection) are US/Japan-dominated",1 - EU Strength,"ASML is indispensable global chokepoint; but EU depends on US/Japan for complementary equipment (Applied Materials, Lam Research, Tokyo Electron, KLA); export control alignment with US is geopolitically sensitive","Chips Act 2.0 reinforces EU equipment ecosystem; Strategic Projects can include equipment manufacturing; fast-track permitting; Semiconductor Regions of Excellence label","Not directly addressed by CADA",Part of EUR 120bn semiconductor investment,Ongoing,"ASML (Netherlands), Zeiss (Germany, EUV optics), BESI (Netherlands, packaging equipment), various EU equipment SMEs","Applied Materials (US), Lam Research (US), Tokyo Electron (Japan), KLA (US), Screen Holdings (Japan)",Loss of EU equipment leadership would eliminate key leverage point in global semiconductor value chain; ASML export restrictions are geopolitical flashpoint,COM(2026) 503 final; global semiconductor equipment market analysis

CROSS-CUTTING,Semiconductor Materials & Substrates,"EU has strengths in specialty materials (Siltronic, SOITEC) and rare earth processing capacity; but critical raw materials (gallium, germanium, rare earths) concentrated in China",3 - Moderate,"China controls ~80% of gallium and ~60% of germanium production; these are essential for compound semiconductors (GaN, SiC) used in power electronics, 5G, and photonics; EU Critical Raw Materials Act provides framework","Strategic Projects expanded to cover specialty materials across value chain; risk assessment and mitigation guidance for exposed sectors; B2B Supply Chain Platform for supply visibility","Not directly addressed by CADA",Part of EUR 120bn semiconductor investment; synergies with EU Critical Raw Materials Act,Ongoing; aligned with Critical Raw Materials Act implementation,"Siltronic (Germany, wafers), SOITEC (France, SOI substrates), Umicore (Belgium, materials), various EU chemical companies","China (gallium, germanium, rare earths), Japan (specialty chemicals, photoresists), US (specialty gases)",Supply disruption of critical raw materials can halt EU semiconductor production regardless of foundry investment; China export controls on gallium/germanium (imposed 2023) demonstrated vulnerability,EU Critical Raw Materials Act; China export controls analysis

CROSS-CUTTING,Semiconductor Workforce & Skills,"EU faces significant semiconductor talent shortage; estimated 30,000-50,000 additional workers needed by 2030; competition from US CHIPS Act and Asian expansion for same talent pool",4 - High,"Insufficient graduates in semiconductor engineering; brain drain to US/Asia; ageing workforce in European fabs; new foundries (TSMC Dresden, Intel Magdeburg) competing for same limited talent","Chips for Europe Initiative 2.0: competence centres network; skills development across semiconductor ecosystem; Semiconductor Regions of Excellence label to attract talent","CADA indirectly supports by creating domestic AI/cloud industry jobs that reduce brain drain pressure",Not separately quantified; embedded in programme budgets,Ongoing; urgently needed before new fabs come online 2027-2030,"European universities, Imec academy, Fraunhofer, national semiconductor training programmes","US universities, TSMC/Samsung training programmes, Asian semiconductor workforce",New EU fabs cannot operate without trained workforce; investment wasted if talent gap not closed; critical enabler for all other dependency-reduction measures,EC semiconductor skills analysis; industry estimates

CROSS-CUTTING,Crisis Preparedness & Supply Chain Resilience,"Original Chips Act introduced crisis response mechanism; Chips Act 2.0 strengthens with proactive tools; 2025 simulation exercise with member states conducted","Improvement over original, but untested in real crisis",3 - Moderate,"Semiconductor supply chains are 6-18 month lead time; crisis detection and response must be faster; information-sharing by companies currently insufficient; joint purchasing untested","B2B Semiconductor Supply Chain Platform for real-time visibility; structured crisis activation process; joint purchasing mechanism; priority orders from publicly subsidised fabs; EU Blueprint for semiconductor crisis management by Q2 2027","CADA includes parallel resilience mechanisms for cloud/AI infrastructure; sovereignty risk assessments",Operational costs embedded in programme budgets,Blueprint by Q2 2027; platform deployment progressive,"European Semiconductor Board, national authorities, industry participants","Global supply chain dependencies remain; crisis response depends on cooperation with non-EU suppliers and governments",Single-point-of-failure supply chains for advanced chips remain until EU foundry operational (2030+); geopolitical crises (Taiwan) could cause multi-year disruption,COM(2026) 503 final; 2025 semiconductor crisis simulation

CROSS-CUTTING,Investment Gap & Funding Mobilisation,"EU estimates EUR 320bn total needed (EUR 120bn semiconductors + EUR 200bn cloud/AI); EU budget contribution is fraction; bulk must come from private sector and member state co-investment",4 - High,"EU public funding alone insufficient; private investors prefer established US/Asian ecosystems; member state coordination historically difficult; state aid rules add complexity even with simplification","Strategic Projects with facilitated public investment access; Chips Fund for startups/scaleups/SMEs; simplified State aid assessment for First-of-a-Kind facilities; Competitiveness Coordination Tool for EU-Member State-industry alignment","CADA strategic project support; public-sector procurement as demand signal; open-source-first principle to lower barriers",EUR 320bn total (EUR 120bn semi + EUR 200bn cloud/AI + EUR 20bn energy digitalisation),2026-2036,"EIB, national development banks, EU venture capital, industry co-investment","US CHIPS Act ($52bn + private leverage), Asian national semiconductor programmes (Korea, Japan, China all >$50bn)",Investment shortfall means EU foundry delayed or downscaled; private sector invests elsewhere; EU targets not met; sovereignty goals remain aspirational,Agence Europe; COM(2026) 503 final; Impact Assessment
