Area,Dependency / chokepoint,Current EU exposure,Why it matters for Chips Act 2.0,Relevant lever(s),Dependency severity,Time horizon,Investment need / estimate,Investment source basis,Investment caveat,Residual risk / watch item,Key evidence / source
AI datacenters,"AI-grade testing, assembly and qualification at volume",Medium-high: testing is identified as a bottleneck for AI-grade advanced logic at production volumes.,Qualification capacity determines whether EU-designed chips can enter datacentre procurement cycles.,First-of-a-Kind value-chain coverage from raw materials to packaging; Strategic Projects; pilot lines/testing facilities.,High,Medium,"Approx. EUR 200bn by 2036 for cloud/AI data-centre capacity; EUR 20bn InvestAI facility for up to five AI Gigafactories; indicative EUR 3-5bn per AI Gigafactory. Cross-cutting semiconductor base: approx. EUR 120bn public/private investment by 2035, including roughly EUR 30bn for a cutting-edge EU foundry.",AI Continent; EC AI Gigafactories; Council AI Gigafactory document; Commission package reporting; Draghi digital benchmark; Commission package reporting; Chips Act 2.0,"This covers physical compute infrastructure; accelerator supply also depends on the EUR 120bn semiconductor investment need. Hardware rows also depend on semiconductor value-chain investment, not only cloud/AI infrastructure spend.","If testing and reliability ecosystems lag, startups remain stuck at prototype or small-batch validation.",EE Times analysis; Chips policy
AI datacenters,Power-efficient AI infrastructure,High: AI growth increases power demand; EU strategy emphasizes sustainable cloud and AI technologies.,Energy-efficient chips and architectures reduce datacentre operating constraints and dependency on scarce power.,Chips Grand Challenges for energy-efficient chips/AI infrastructure; CADA R&D&I for sustainable cloud and AI.,High,Medium to long,"Approx. EUR 200bn by 2036 for cloud/AI data-centre capacity; EUR 20bn InvestAI facility for up to five AI Gigafactories; indicative EUR 3-5bn per AI Gigafactory. Cross-cutting semiconductor base: approx. EUR 120bn public/private investment by 2035, including roughly EUR 30bn for a cutting-edge EU foundry.",AI Continent; EC AI Gigafactories; Council AI Gigafactory document; Commission package reporting; Draghi digital benchmark; Commission package reporting; Chips Act 2.0,"This covers physical compute infrastructure; accelerator supply also depends on the EUR 120bn semiconductor investment need. Hardware rows also depend on semiconductor value-chain investment, not only cloud/AI infrastructure spend.",Efficiency improvements may be offset by rising model size and inference volume.,Chips policy; CADA policy; Chips annexes PDF
LLMs,Frontier-model training compute,"High: the AI Gigafactory initiative exists because Europe faces a deficit in large-scale computing infrastructure for training, fine-tuning, inference and deployment.","LLMs require clustered accelerators, storage, networking and datacentres; chips policy enables only one layer of that stack.",AI Factories; up to five AI Gigafactories; CADA data-centre capacity; Chips Act AI-chip Grand Challenges.,Critical,Immediate to medium,"No separate Chips Act LLM line item; proxy requirements are EUR 20bn for up to five AI Gigafactories, EUR 10bn through EuroHPC AI Factories, and the broader EUR 200bn InvestAI AI-development mobilisation.",AI Continent; AI Factories; EC AI Gigafactories; Draghi report,"LLM investment is mainly compute, data, model tooling, and deployment capacity; Chips Act 2.0 contributes through AI chips and advanced packaging.",Gigafactories may still rely on non-EU accelerators and proprietary software while EU silicon matures.,AI continent; AI factories; AI gigafactories
LLMs,Proprietary AI accelerator software ecosystems,High: model developers depend on mature foreign hardware/software stacks for training and inference productivity.,"A sovereign accelerator is commercially weak without compilers, libraries, kernels, orchestration and developer tooling.",Open Source Strategy; CADA software supply-chain transparency; Chips design-platform and AI-for-design support.,Critical,Immediate to long,"No separate Chips Act LLM line item; proxy requirements are EUR 20bn for up to five AI Gigafactories, EUR 10bn through EuroHPC AI Factories, and the broader EUR 200bn InvestAI AI-development mobilisation. Cross-cutting semiconductor base: approx. EUR 120bn public/private investment by 2035, including roughly EUR 30bn for a cutting-edge EU foundry. Open-source/digital-stack support is reported around EUR 2bn over seven years, but this is not specific to cloud or LLMs alone.",AI Continent; AI Factories; EC AI Gigafactories; Draghi report; Commission package reporting; Chips Act 2.0; Tech Sovereignty/Open Source Strategy reporting,"LLM investment is mainly compute, data, model tooling, and deployment capacity; Chips Act 2.0 contributes through AI chips and advanced packaging. Hardware rows also depend on semiconductor value-chain investment, not only cloud/AI infrastructure spend.",Open tooling must reach performance parity and developer adoption; CUDA-like lock-in may persist.,Tech sovereignty communication; CADA policy; AI factories
LLMs,Foundation-model ownership and IP concentration outside Europe,"High: EU initiatives are designed to give startups, industry and researchers access to compute for cutting-edge models and applications.","Hardware supply is only useful if European actors can train, fine-tune and deploy competitive models.",AI Factories prioritising startups/SMEs; AI Gigafactories for next-generation models with trillions of parameters; CADA cloud/AI adoption.,High,Immediate to medium,"No separate Chips Act LLM line item; proxy requirements are EUR 20bn for up to five AI Gigafactories, EUR 10bn through EuroHPC AI Factories, and the broader EUR 200bn InvestAI AI-development mobilisation.",AI Continent; AI Factories; EC AI Gigafactories; Draghi report,"LLM investment is mainly compute, data, model tooling, and deployment capacity; Chips Act 2.0 contributes through AI chips and advanced packaging.","Compute access does not guarantee frontier-model competitiveness, data access, talent retention, or go-to-market scale.",AI factories; AI continent
LLMs,Inference capacity for public and critical-sector use cases,"Medium-high: CADA sovereignty levels cover AI/cloud use by public bodies and sensitive sectors, including control over infrastructure and software chains.","Sovereign LLM deployment requires reliable, local or controlled inference capacity, not only training facilities.",CADA sovereignty framework; common procurement; data-centre capacity; open source promotion.,High,Immediate,"No separate Chips Act LLM line item; proxy requirements are EUR 20bn for up to five AI Gigafactories, EUR 10bn through EuroHPC AI Factories, and the broader EUR 200bn InvestAI AI-development mobilisation.",AI Continent; AI Factories; EC AI Gigafactories; Draghi report,"LLM investment is mainly compute, data, model tooling, and deployment capacity; Chips Act 2.0 contributes through AI chips and advanced packaging.",Sensitive workloads may need higher assurance levels that few providers can meet initially.,CADA policy; CADA proposal page
LLMs,"Open-source models, tools and maintenance",Medium-high: Open source is identified as a package-wide way to reduce dependencies across the technology stack.,"Open models and tools can reduce lock-in, auditability gaps and foreign platform dependence for LLM deployment.",EU Open Source Strategy; CADA open source promotion; public procurement guidance.,Medium-high,Immediate to medium,"No separate Chips Act LLM line item; proxy requirements are EUR 20bn for up to five AI Gigafactories, EUR 10bn through EuroHPC AI Factories, and the broader EUR 200bn InvestAI AI-development mobilisation. Open-source/digital-stack support is reported around EUR 2bn over seven years, but this is not specific to cloud or LLMs alone.",AI Continent; AI Factories; EC AI Gigafactories; Draghi report; Tech Sovereignty/Open Source Strategy reporting,"LLM investment is mainly compute, data, model tooling, and deployment capacity; Chips Act 2.0 contributes through AI chips and advanced packaging.","Open source still needs funding for maintenance, security, governance and enterprise support.",Tech sovereignty communication; CADA policy
LLMs,Training data access and sectoral data spaces,"Medium: not a Chips Act dependency, but LLM capability depends on high-quality data and sector-specific access.",Chips and compute capacity will not translate into LLM leadership without data access and legal/technical governance.,AI Continent Action Plan data pillar; CADA adoption in strategic sectors; open ecosystems.,Medium,Immediate to medium,"No separate Chips Act LLM line item; proxy requirements are EUR 20bn for up to five AI Gigafactories, EUR 10bn through EuroHPC AI Factories, and the broader EUR 200bn InvestAI AI-development mobilisation.",AI Continent; AI Factories; EC AI Gigafactories; Draghi report,"LLM investment is mainly compute, data, model tooling, and deployment capacity; Chips Act 2.0 contributes through AI chips and advanced packaging.","Data fragmentation, privacy constraints and licensing uncertainty can slow model development.",AI continent; CADA policy
Quantum,Quantum chip pilot-line and foundry access,"High: Europe is launching six quantum pilot lines across superconducting, photonic, semiconducting, diamond, ion-trap and neutral-atom platforms.",Quantum chips are an explicit strategic semiconductor frontier where Europe can build future indispensability rather than only catch up in classical logic.,Chips JU quantum pilot lines; Chips Act support for quantum chips; Quantum Chips Industrialisation Roadmap.,High,Medium to long,At least EUR 240-300m for six quantum pilot lines (EUR 40-50m each); quantum design facility and full industrialisation roadmap funding not yet quantified in the reviewed sources.,Quantum Europe Strategy; Chips JU 2026 Appendix 8; Draghi report,"Draghi recommends quantum labs/nodes attached to EU HPC centres and PPPs across the frontier stack, including quantum chips, but does not provide a standalone quantum investment total in the cited public summaries.",Pilot lines bridge lab-to-fab but do not yet create high-volume manufacturing ecosystems.,Quantum Europe strategy; Imec SPINS; Chips JU 2026 Appendix 8
Quantum,"Quantum design tools, PDKs and IP libraries",High: EU sources note fragmented quantum design landscapes and need for cloud-based quantum design facilities integrated with the semiconductor design platform.,"Design tooling is necessary to connect research designs to pilot lines, MPW shuttles and manufacturable processes.",Quantum design facility; European cloud-based semiconductor design platform; Quantum Design Enablement Teams.,High,Immediate to medium,At least EUR 240-300m for six quantum pilot lines (EUR 40-50m each); quantum design facility and full industrialisation roadmap funding not yet quantified in the reviewed sources.,Quantum Europe Strategy; Chips JU 2026 Appendix 8; Draghi report,"Draghi recommends quantum labs/nodes attached to EU HPC centres and PPPs across the frontier stack, including quantum chips, but does not provide a standalone quantum investment total in the cited public summaries.",PDK standardisation across very different quantum platforms is technically difficult and requires sustained community alignment.,Chips JU 2026 Appendix 8; Quantum Europe strategy
Quantum,Cryogenic operation and control electronics,"High: quantum systems require cryogenic operation, ultraprecise control electronics and specialised fabrication processes.",These components are chokepoints around the quantum chip itself and can determine system scalability.,Quantum pilot lines; EU Quantum Technology Risk Assessment; support for cryogenic/control-electronics capabilities.,High,Medium to long,"At least EUR 240-300m for six quantum pilot lines (EUR 40-50m each); quantum design facility and full industrialisation roadmap funding not yet quantified in the reviewed sources. Cross-cutting semiconductor base: approx. EUR 120bn public/private investment by 2035, including roughly EUR 30bn for a cutting-edge EU foundry.",Quantum Europe Strategy; Chips JU 2026 Appendix 8; Draghi report; Commission package reporting; Chips Act 2.0,"Draghi recommends quantum labs/nodes attached to EU HPC centres and PPPs across the frontier stack, including quantum chips, but does not provide a standalone quantum investment total in the cited public summaries. Hardware rows also depend on semiconductor value-chain investment, not only cloud/AI infrastructure spend.",Industrial supply chains for cryogenic/control electronics may remain niche and exposed to specialised suppliers.,Imec SPINS; Quantum Europe strategy
Quantum,"Specialised materials, precision components and supply-chain mapping","Medium-high: EU Quantum Strategy calls for risk assessment of vulnerabilities from rare materials to precision components, control electronics and software stacks.",Materials/components dependencies can constrain scaling even if chip design and fabrication improve.,EU-wide Quantum Technology Risk Assessment; quantum industrialisation planning; strategic partnerships where needed.,High,Immediate to medium,At least EUR 240-300m for six quantum pilot lines (EUR 40-50m each); quantum design facility and full industrialisation roadmap funding not yet quantified in the reviewed sources.,Quantum Europe Strategy; Chips JU 2026 Appendix 8; Draghi report,"Draghi recommends quantum labs/nodes attached to EU HPC centres and PPPs across the frontier stack, including quantum chips, but does not provide a standalone quantum investment total in the cited public summaries.","Risk mapping must translate into procurement, stockpiling, supplier development or partnership actions.",Quantum Europe strategy
Quantum,Platform fragmentation across qubit modalities,"Medium-high: six pilots cover multiple platforms, reflecting a still-fragmented technology landscape.","Fragmentation raises cost and slows standards, but also preserves optionality before dominant quantum platforms emerge.",Six complementary pilot lines; common design facility; harmonized PDK references and MPW access.,Medium-high,Medium,At least EUR 240-300m for six quantum pilot lines (EUR 40-50m each); quantum design facility and full industrialisation roadmap funding not yet quantified in the reviewed sources.,Quantum Europe Strategy; Chips JU 2026 Appendix 8; Draghi report,"Draghi recommends quantum labs/nodes attached to EU HPC centres and PPPs across the frontier stack, including quantum chips, but does not provide a standalone quantum investment total in the cited public summaries.",Too much fragmentation can dilute funding; too much narrowing can miss the winning architecture.,Chips JU 2026 Appendix 8; Quantum Europe strategy
Quantum,Lab-to-fab and commercial industrialisation,"High: EU strategy explicitly says Europe must move from handmade/experimental devices toward large-scale, low-cost quantum-chip manufacturing.",Industrialisation is where a research lead becomes supply-chain resilience and economic value.,Quantum Chips Industrialisation Roadmap; pilot-line open access; First-of-a-Kind/Strategic Project logic where applicable.,Critical,Long,At least EUR 240-300m for six quantum pilot lines (EUR 40-50m each); quantum design facility and full industrialisation roadmap funding not yet quantified in the reviewed sources.,Quantum Europe Strategy; Chips JU 2026 Appendix 8; Draghi report,"Draghi recommends quantum labs/nodes attached to EU HPC centres and PPPs across the frontier stack, including quantum chips, but does not provide a standalone quantum investment total in the cited public summaries.","Commercial volume, standards, yield, error correction and customer demand are unresolved.",Quantum Europe strategy; Imec SPINS
Quantum,"Integration with photonics, classical control, packaging and testing","High: quantum chips require heterogeneous integration with classical electronics, photonics and specialised test environments.","This overlaps with Chips Act 2.0 support for packaging, testing and whole-value-chain strategic projects.",Advanced packaging and testing support; quantum pilot lines; QDET/pilot-line interfaces.,High,Medium to long,"At least EUR 240-300m for six quantum pilot lines (EUR 40-50m each); quantum design facility and full industrialisation roadmap funding not yet quantified in the reviewed sources. Cross-cutting semiconductor base: approx. EUR 120bn public/private investment by 2035, including roughly EUR 30bn for a cutting-edge EU foundry.",Quantum Europe Strategy; Chips JU 2026 Appendix 8; Draghi report; Commission package reporting; Chips Act 2.0,"Draghi recommends quantum labs/nodes attached to EU HPC centres and PPPs across the frontier stack, including quantum chips, but does not provide a standalone quantum investment total in the cited public summaries. Hardware rows also depend on semiconductor value-chain investment, not only cloud/AI infrastructure spend.",Integration may need dedicated or repurposed foundries and low-volume prototyping routes not covered by mainstream fabs.,Chips policy; Chips JU 2026 Appendix 8; Quantum Europe strategy
