SECTION,ITEM,DETAIL,VALUE / METRIC,TIMELINE,IMPLICATION FOR EU LLM LEADERSHIP
KNOWN BIDS & PROJECTS,Netherlands (AI Gigafactory.NL),"Supported by Peter Wennink (ex-ASML CEO); industry and academic consortium","Multi-billion EUR bid; location TBD",Bid in preparation,"Netherlands' semiconductor ecosystem (ASML, NXP, Imec) creates unique synergies with chip-to-compute integration"
KNOWN BIDS & PROJECTS,Other Bidders,"Finland, Italy, Portugal, Austria (Vienna), Czech Republic (Prague), Poland, and others",76 total expressions of interest across 60 sites in 16 Member States,Submitted June 2025,"Geographic spread ensures broad EU access but risks diluting compute concentration"
KNOWN BIDS & PROJECTS,Campus AI (France - parallel),"Bpifrance, Mistral, Nvidia, MGX (UAE); pilot site at Fouju (Seine-et-Marne)","3 GW target across France; 1.4 GW initial site; EUR multi-billion",Construction H2 2026; operations 2028,"Separate from AIGF programme; Mistral gets priority compute access; sovereign cloud + exascale computing"

COMPUTE GAP ANALYSIS,US AI Compute Capacity (2026),"~8,200 MW dedicated AI data centre capacity; 39.7M H100-equivalents","75% of global AI supercomputing power",Operational now,"US adds more AI compute capacity each quarter than EU's entire installed base"
COMPUTE GAP ANALYSIS,EU AI Compute Capacity (2026),"~3,500 MW total (AI-specific ~2,000 MW); ~2.5M H100-equivalents","<5% of global AI supercomputing power",Operational now,"17x less AI computing power than US; comparable to a single US hyperscaler's 2024 deployment"
COMPUTE GAP ANALYSIS,China AI Compute Capacity (2026),"~3,100 MW; constrained by US export controls on advanced chips","~15% of global capacity but falling",Operational now,"China compensates with algorithmic efficiency (DeepSeek); EU lacks both hardware AND efficiency advantages"
COMPUTE GAP ANALYSIS,EU Post-Gigafactory Capacity (2032E),"~9,700 MW total by 2031; Gigafactories add 500-600K GPUs","EU share rises to ~8-10% of global AI compute",2030-2032,"Closes gap vs. 2025 US levels but US will have grown to ~26,400 MW by 2031; relative gap may widen"
COMPUTE GAP ANALYSIS,Single US Company Comparison,"xAI Colossus: 555,000 GPUs, 2 GW capacity; Meta: $115-135bn 2026 capex; Google: ~25% of global AI compute","Single US company exceeds entire EU AIGF programme",Operational 2025-2026,"EU's EUR 20bn programme roughly equals what one US tech company spends in a single year"
COMPUTE GAP ANALYSIS,Frontier Model Training Requirements,"Current frontier models: 10,000-100,000+ GPUs for weeks/months; next-gen may require 500K+ GPUs","xAI Grok-4 used ~5x10^26 FLOPs; Llama 3 used 16,384 H100s for 54 days",Scaling rapidly,"Each EU Gigafactory (75K GPUs) can train one frontier model at a time; US labs run multiple in parallel"

IMPACT ON EU LLM LEADERSHIP,Current EU LLM Position,"Mistral AI is only EU frontier model developer; $400M ARR; 60% revenue from Europe","EU has <5% of global AI compute; Mistral trains on US cloud infrastructure (AWS/Azure) and own facility",As of mid-2026,"Without sovereign compute, EU's leading AI company remains dependent on US infrastructure"
IMPACT ON EU LLM LEADERSHIP,Gigafactory Compute for LLM Training,"Each AIGF (75K GPUs) sufficient for training one frontier-scale model at a time","7-8 facilities = 7-8 simultaneous frontier training runs possible","Operational 2030-2032","By 2030 standards, 75K GPUs may be entry-level for frontier training; continuous hardware refresh needed"
IMPACT ON EU LLM LEADERSHIP,Democratised Access for EU Startups,"AI Factory access modes: Playground (2 working days), Fast Lane (50K GPU-hours), Large Scale (>50K GPU-hours)","Free compute access for SMEs and startups; reduces US cloud dependency for EU AI ecosystem","AI Factories operational now; Gigafactories by 2030","Lowers barrier to entry for EU AI startups; creates pipeline of companies beyond Mistral"
IMPACT ON EU LLM LEADERSHIP,Sovereign Training Data Advantage,"Gigafactories will integrate with EU Common Data Spaces; 24 official EU languages; GDPR-compliant data governance","EU data spaces cover health, agriculture, manufacturing, energy, finance","Progressive; data spaces maturing 2026-2028","EU's multilingual, domain-specific data is a genuine advantage if Gigafactories enable its exploitation at scale"
IMPACT ON EU LLM LEADERSHIP,EU Open-Source Model Ecosystem,"EU Open Source Strategy + CADA open-source-first procurement = demand pull for EU open-weight models","Mistral (Apache 2.0 models), Hugging Face (France/US), BLOOM legacy, LAION","Ongoing; CADA adoption Q2 2027","Open-weight models + sovereign compute + open-source procurement = viable EU LLM ecosystem by 2030"
IMPACT ON EU LLM LEADERSHIP,Inference Infrastructure Gap,"LLM inference (running models) will be 65% of AI compute spend by 2035; requires different infrastructure than training","Gigafactories designed for training; inference needs distributed, edge-adjacent infrastructure","Inference demand scales with enterprise AI adoption","CADA's data centre tripling + sovereign cloud providers handle inference; Gigafactories handle training; EU needs BOTH"
IMPACT ON EU LLM LEADERSHIP,Chip Sovereignty Linkage,"Gigafactories create anchor demand for EU-designed AI chips (Chips Act 2.0 Demand Accelerators)","75K+ GPUs per facility x 7-8 facilities = 525-600K+ GPUs to procure","Foundry pilot 2030-2033","Initially 100% NVIDIA; by 2033-2035, EU-designed chips (Axelera, SiPearl) could supply 10-15% of Gigafactory refreshes"
IMPACT ON EU LLM LEADERSHIP,Risk: Obsolescence by Arrival,"Formal call Summer 2026; construction 2028; operations 2030-2032; US frontier moves every 6-12 months","75K GPUs in 2030 may be equivalent to 2025 mid-tier US cluster","Continuous risk","Must build in hardware refresh cycle (every 2-3 years) and modular architecture; EU procurement speed is critical weakness"
IMPACT ON EU LLM LEADERSHIP,Risk: Brain Drain Continues,"EU AI researchers leave for US labs offering 10-100x more compute and higher salaries","Stanford data: EU produced only 6% of notable AI models despite strong research base","Ongoing structural issue","Gigafactories partially address compute gap but salary/funding gap remains; talent retention requires compute + funding + culture"
IMPACT ON EU LLM LEADERSHIP,Realistic EU LLM Position by 2035,"EU could train 2-3 frontier-class models annually on sovereign infrastructure; serve 35-40% of EU enterprise LLM market","Requires: Gigafactories operational + Mistral/successors at frontier + open-source ecosystem + sovereign cloud adoption","2030-2035","Not US-parity but sufficient for technological autonomy in EU-critical use cases (government, defence, industrial, healthcare)"

INVESTMENT SUMMARY: 2025-2035,Phase 1: AI Factories (operational),"EUR 10bn (EU + Member States + associated countries); 19 facilities + 13 antennas",EUR 10bn,2021-2027,"Foundation layer; largest factories ~25,000 GPUs; free access for startups/SMEs"
INVESTMENT SUMMARY: 2025-2035,Phase 2: AI Gigafactories,EUR 20bn (EU 17% + Member States 17%+ + private ~66%),EUR 20bn,2026-2032,"7-8 facilities with 75,000+ GPUs each; frontier training capability"
INVESTMENT SUMMARY: 2025-2035,Phase 3: CADA Data Centre Expansion,EUR 200bn (mostly private investment) to triple EU data centre capacity,EUR 200bn,2026-2036,"Inference and deployment infrastructure; sovereign cloud scaling"
INVESTMENT SUMMARY: 2025-2035,Parallel: Private AI Infrastructure,"Mistral/Campus AI (~EUR 4-10bn), AION (EUR 10bn), hyperscaler EU capex (~EUR 40bn/year)","EUR 50-100bn+ cumulative private",2025-2035,"Private investment dwarfs public; but public sets sovereignty framework and standards"
INVESTMENT SUMMARY: 2025-2035,Parallel: Chips Act 2.0 Semiconductor,"EUR 120bn (public + private) for EU semiconductor ecosystem including AI chips",EUR 120bn,2026-2035,"Supplies the chips that go into Gigafactories; 3nm foundry + advanced packaging"
INVESTMENT SUMMARY: 2025-2035,TOTAL ESTIMATED EU AI INFRASTRUCTURE INVESTMENT,"EUR 350-450bn cumulative across all programmes and private investment through 2035","EUR 350-450bn",2021-2035,"Substantial but compare to US: single year 2026 private AI capex exceeds EUR 300bn"

US vs EU CAPACITY: TRAINING,US Total AI Data Centre Capacity (2025),"~30 GW total DC; ~8.2 GW dedicated AI; 39.7M H100-equivalents","8,200 MW AI-dedicated",2025 actual,"US hosts 75% of global AI supercomputing power; 17x more AI compute than EU"
US vs EU CAPACITY: TRAINING,US Total AI Data Centre Capacity (2030E),"80-90 GW total DC; ~62 GW AI training + 93 GW inference (McKinsey); Deloitte: 80 GW AI-specific","62,200 MW training / 93,300 MW inference",2030E,"US adds ~14 GW new compute in 2026 alone; 20+ GW in 2027 (Morgan Stanley)"
US vs EU CAPACITY: TRAINING,US Total AI Data Centre Capacity (2035E),"123 GW AI DC (Deloitte US outlook); total DC could exceed 150 GW; 1/3 of campuses exceed 1 GW","~123,000 MW AI-dedicated",2035E,"30x growth from 2024's 4 GW; mega-training campuses at multi-GW scale become standard"
US vs EU CAPACITY: TRAINING,Stargate (OpenAI/Oracle/SoftBank),"$500bn over 4 years; ~7 GW planned (May 2026); 10 GW target by 2029; 2M GPUs; 8+ sites across US","7,000-10,000 MW",Abilene TX live; full 10 GW by 2029,"Single project exceeds entire EU Gigafactory programme; GPT-5.5 trained at Abilene"
US vs EU CAPACITY: TRAINING,xAI Colossus (Memphis TN),"555,000 GPUs; 2 GW total capacity; Colossus I (300 MW live) + Colossus II (1 GW under construction)","2,000 MW",Colossus I live; II construction 2026,"Built in 122 days; faster than any EU procurement cycle; Grok-4 trained here"
US vs EU CAPACITY: TRAINING,Meta Hyperion (Louisiana),"7.5 GW gas-fired campus; $115-135bn 2026 capex; millions of Blackwell + AMD GPUs on order","7,500 MW planned",Under development,"Single Meta campus = 2x entire EU Gigafactory programme; Llama models trained here"
US vs EU CAPACITY: TRAINING,Google AI Infrastructure,"~25% of global AI compute; 7 GW new capacity in 2027; $175-185bn 2026 capex; TPU v6 + NVIDIA","7,000 MW new in 2027 alone",Ongoing,"Google's annual capex (~$180bn) exceeds EU's entire cumulative AIGF programme (EUR 20bn)"
US vs EU CAPACITY: TRAINING,Microsoft AI Infrastructure,"5 GW new capacity in 2027; $110-120bn 2026 capex; Azure + Stargate partnership","5,000 MW new in 2027",Ongoing,"Also expanding EU sovereign cloud (Brandenburg); dual US/EU strategy"
US vs EU CAPACITY: TRAINING,Amazon/AWS AI Infrastructure,"$200bn 2026 capex (largest single company); 5 GW new in 2027; Trainium custom chips","5,000 MW new in 2027",Ongoing,"AWS also operates EU sovereign cloud; Trainium reduces NVIDIA dependence"
US vs EU CAPACITY: TRAINING,US Big 4 Combined 2026 Capex,"$630bn combined (Amazon $200bn + Google $180bn + Meta $125bn + Microsoft $115bn); 62% increase YoY","$630bn in single year",2026,"US Big 4's single-year capex = ~30x EU's total AIGF programme budget"
US vs EU CAPACITY: TRAINING,US Training Capacity Summary (2030),"~62 GW dedicated to AI training (McKinsey); 10+ mega-training campuses at GW+ scale","62,200 MW training",2030E,"Sufficient for dozens of simultaneous frontier model training runs; EU can do 7-8"
US vs EU CAPACITY: TRAINING,US Training Capacity Summary (2035E),"Extrapolating Deloitte trajectory: ~45-55 GW training (of 123 GW total AI); inference dominates but training still massive","45,000-55,000 MW training",2035E,"Even as inference grows to 65-75% of spend, US training capacity alone exceeds entire EU DC estate"

US vs EU CAPACITY: INFERENCE,US Inference Capacity (2025),"~20.9 GW AI inference (McKinsey); inference = 58.6% of AI infra spend (Futurum); growing fastest","20,900 MW inference",2025,"Inference overtook training as primary AI compute spend in early 2026"
US vs EU CAPACITY: INFERENCE,US Inference Capacity (2030E),"~93.3 GW AI inference (McKinsey); 72% of AI infra spend by 2030 (Futurum base case)","93,300 MW inference",2030E,"Inference grows 4.5x while training grows 2.7x; distributed regional hubs complement mega-campuses"
US vs EU CAPACITY: INFERENCE,US Inference Capacity (2035E),"Extrapolating: ~70-80 GW inference (of 123 GW total AI); ABI Research: >45 GW cloud AI inference alone","70,000-80,000 MW inference",2035E,"Enterprise AI adoption at 80%+; agentic workloads drive 24x token growth (Goldman Sachs); edge inference expands"
US vs EU CAPACITY: INFERENCE,Inference Workload Shift,"Training: one-time capital event; Inference: recurring operating expense scaling with success; 80-90% of model lifecycle compute goes to inference","Training ~28% / Inference ~72% of spend by 2030",Structural shift 2025-2030,"EU's Gigafactories are designed for TRAINING; inference requires different distributed infrastructure"
US vs EU CAPACITY: INFERENCE,Inference Architecture Difference,"Mega training: centralised GW campuses; Inference: distributed 20-100 MW regional hubs + <10 MW edge nodes","3 tiers: mega-campus / regional hub / edge node",2030-2035,"EU's CADA tripling (data centres) addresses inference better than Gigafactories; sovereign cloud is inference play"

US vs EU CAPACITY: EU SOVEREIGN,EU Total AI Data Centre Capacity (2025),"~10 GW total DC; ~3.5 GW dedicated AI (2026); ~2.5M H100-equivalents; ~2 GW AI power capacity","3,500 MW AI-dedicated (2026)",2025-2026 actual,"EU has <5% of global AI compute; 1.6 GW absorption in 2025 vs 17 GW in US"
US vs EU CAPACITY: EU SOVEREIGN,EU Total DC Capacity (2030E),"~35 GW total (Affinius Capital); ~9.7 GW AI-specific (xpert.digital); CADA target: triple from ~10 GW to ~30 GW","9,700 MW AI-dedicated",2030E,"CADA tripling on track would reach ~30 GW total; AI-specific ~10 GW; still 1/6 of US"
US vs EU CAPACITY: EU SOVEREIGN,EU Total DC Capacity (2035E),"~50-60 GW total if CADA targets met + continued growth; AI-specific ~15-20 GW","15,000-20,000 MW AI-dedicated",2035E,"EU reaches roughly 2030 US levels by 2035; 5-year structural lag persists"
US vs EU CAPACITY: EU SOVEREIGN,AI Gigafactories (sovereign training),"7-8 facilities x 75,000+ GPUs = 525-600K GPUs; estimated ~3-5 GW combined compute capacity","3,000-5,000 MW (est.)",Operational 2030-2032,"Dedicated sovereign training capacity; can train 7-8 frontier models simultaneously"
US vs EU CAPACITY: EU SOVEREIGN,AI Factories (existing sovereign),"19 factories + 13 antennas; largest ~25,000 GPUs; ~500-800 MW combined","500-800 MW",Operational 2025-2026,"Foundation layer; free access for startups; smaller than Gigafactories"
US vs EU CAPACITY: EU SOVEREIGN,Campus AI / Mistral (sovereign private),"3 GW target in France (Bpifrance/Mistral/Nvidia/MGX); 200 MW Mistral by 2027; 1.4 GW pilot site","1,400-3,000 MW",Construction 2026; operations 2028,"Largest single EU sovereign compute project; Mistral priority access"
US vs EU CAPACITY: EU SOVEREIGN,AION Consortium (if selected),"200 MW initial; 1 GW ultimate; 288K H100-equivalents; end-to-end EU stack","200-1,000 MW",Decision Q4 2026; construction 2028,"May overlap with or complement Gigafactory programme"
US vs EU CAPACITY: EU SOVEREIGN,US Hyperscaler Capex in EU,"AWS/Azure/GCP invest ~EUR 40bn/year in EU infrastructure; AWS Sovereign Cloud (Brandenburg); Azure sovereign","~5-8 GW added by US companies in EU by 2030",Ongoing,"Non-sovereign but physically in EU; CADA SEAL framework governs access for public sector"
US vs EU CAPACITY: EU SOVEREIGN,EU Sovereign AI Compute (2030E total),"Gigafactories (~4 GW) + AI Factories (~0.8 GW) + Campus AI (~1.5 GW) + sovereign cloud (~1 GW)","~7,000-8,000 MW sovereign",2030E,"Sovereign = EU-controlled and operated; ~20-25% of total EU AI DC capacity"
US vs EU CAPACITY: EU SOVEREIGN,EU Sovereign AI Compute (2035E total),"Gigafactories (refreshed ~5 GW) + Campus AI (~3 GW) + sovereign cloud (~3 GW) + new private (~4 GW)","~12,000-15,000 MW sovereign",2035E,"Sovereign compute reaches ~25-30% of EU AI capacity; remainder via US hyperscalers under SEAL framework"
US vs EU CAPACITY: EU SOVEREIGN,EU Training vs Inference Split (2030E),"Training: ~4-5 GW (Gigafactories + AI Factories); Inference: ~5-6 GW (CADA data centres + sovereign cloud)","Training ~4.5 GW / Inference ~5.5 GW sovereign",2030E,"Training is Gigafactory focus; inference served by CADA-expanded DCs and sovereign cloud providers"
US vs EU CAPACITY: EU SOVEREIGN,EU Training vs Inference Split (2035E),"Training: ~5-7 GW (refreshed Gigafactories + new capacity); Inference: ~8-12 GW (CADA + sovereign cloud scale-up)","Training ~6 GW / Inference ~10 GW sovereign",2035E,"Inference dominates EU sovereign compute by 2035 as enterprise AI adoption scales"
US vs EU CAPACITY: EU SOVEREIGN,EU vs US Gap Summary (2030),"US training: ~62 GW vs EU sovereign training: ~4.5 GW = 14:1 gap; US inference: ~93 GW vs EU sovereign inference: ~5.5 GW = 17:1 gap","US leads 14-17x in both training and inference",2030E,"Gap narrows from 17x (2026) to 14x (2030) but remains massive; EU compensates with open-source efficiency and domain focus"
US vs EU CAPACITY: EU SOVEREIGN,EU vs US Gap Summary (2035),"US training: ~50 GW vs EU sovereign training: ~6 GW = 8:1 gap; US inference: ~75 GW vs EU sovereign inference: ~10 GW = 7.5:1 gap","US leads 7.5-8x in both training and inference",2035E,"Gap narrows further to ~8:1 but never closes; EU's strategy must be efficiency + sovereignty not scale parity"

ASSESSMENT,Overall Verdict,EU AI Gigafactory programme is necessary but not sufficient for LLM leadership,,"2030-2035","EU will not match US compute scale; goal should be 'strategic autonomy' not 'parity'"
ASSESSMENT,Strengths,"Largest public AI infrastructure programme globally; strong private interest (76 bids); sovereign compute for EU-critical applications; open-source ecosystem (Mistral, Hugging Face); multilingual data advantage",,,"These are genuine differentiators vs. US private-sector-dominated model"
ASSESSMENT,Weaknesses,"3-4 year deployment lag vs. US; 75K GPUs/facility may be outdated by arrival; procurement complexity; energy bottleneck; talent retention; no EU AI chip for initial deployment; single frontier model developer (Mistral)",,,"Speed of execution is the make-or-break factor"
ASSESSMENT,Key Success Metrics by 2035,"(1) 7-8 Gigafactories operational with current-gen hardware; (2) 2+ EU frontier LLM developers; (3) 35-40% of EU enterprise LLM market served by EU models; (4) 10-15% of Gigafactory GPUs EU-designed; (5) EU LLM used in all 27 Member State governments",,2035,"If all 5 metrics met, EU achieves meaningful LLM sovereignty; if <3, programme has underdelivered"
