Company,Ticker,Listing,Subsector,Region,Approx. Market Cap ($B),Recent IPO/Listing,IPO/Listing Date,Notes / Thesis
MediaTek,2454.TW,TWSE,Semis - Fabless,Taiwan,90.0,No,2001-07,Mobile/connectivity SoCs; custom ASIC ambitions for AI datacenter.
Marvell Technology,MRVL,Nasdaq,Semis - Networking/Custom ASIC,US,100.0,No,2000-06,Custom AI silicon + optical DSP/networking for data centers.
Arm Holdings,ARM,Nasdaq,Semis - IP/Design,UK,160.0,Yes,2023-09,CPU IP; datacenter (Neoverse) traction; recent IPO.
Astera Labs,ALAB,Nasdaq,Semis - Connectivity,US,63.0,Yes,2024-03,"Connectivity semis (PCIe/CXL/Ethernet retimers, Scorpio fabric) for AI racks; Nasdaq-100 add."
Credo Technology,CRDO,Nasdaq,Semis - Connectivity,US,25.0,No,2022-01,High-speed connectivity (AECs/SerDes/optical DSP) for AI data centers.
Micron Technology,MU,Nasdaq,Semis - Memory,US,180.0,No,1984-06,Only US-based DRAM/NAND maker; HBM3E ramp; AI memory supercycle.
CXMT (ChangXin Memory),STAR (pending),SSE STAR (pending),Semis - Memory,China,150.0,Yes,2026-H2 (pending),China's largest DRAM maker; ~$4.3B STAR IPO approved Jun-2026 (2nd-largest STAR listing); HBM ambitions.
Kioxia Holdings,285A.T,TSE,Semis - Memory (NAND),Japan,20.0,Yes,2024-12,NAND flash pure-play (ex-Toshiba Memory); recent Tokyo IPO.
SanDisk,SNDK,Nasdaq,Semis - Memory (NAND),US,25.0,Yes,2025-02 (spin-off),NAND/flash pure-play spun off from Western Digital in Feb-2025.
ASML Holding,ASML,Nasdaq / Euronext,Semis - Equipment (WFE),Netherlands,400.0,No,1995-03,Monopoly on EUV litho; critical enabler of leading-edge scaling.
Applied Materials,AMAT,Nasdaq,Semis - Equipment (WFE),US,180.0,No,1972-10,Broadest WFE portfolio (deposition/etch/CMP); DRAM/HBM leverage.
Lam Research,LRCX,Nasdaq,Semis - Equipment (WFE),US,140.0,No,1984-05,Etch/deposition leader; NAND/DRAM 3D scaling leverage.
KLA Corporation,KLAC,Nasdaq,Semis - Equipment (WFE),US,140.0,No,1980 (KLA),Process control/metrology & inspection near-monopoly; advanced packaging.
Tokyo Electron,8035.T,TSE,Semis - Equipment (WFE),Japan,150.0,No,1980s,"Top-tier WFE (coater/developer, etch, deposition); Japan flagship."
NAURA Technology,002371.SZ,SZSE,Semis - Equipment (WFE),China,55.0,No,2010-06,China's largest domestic WFE maker; etch/deposition/thermal; localization play.
AMEC (Advanced Micro-Fabrication),688012.SS,SSE STAR,Semis - Equipment (WFE),China,30.0,No,2019-07 (STAR),China etch equipment leader; MOCVD; leading-edge localization.
