Model Family,Model Name,Developer,Country,Category,Total Parameters,Active Parameters,Distilled Sizes Available,RL Method,RL Goal,RL Innovation,Distillation Strategy,Distillation Source,Distillation Targets,Distillation Samples,Post-Training RL Share (Est %),Training Compute (GPU-hours),AIME 2024,MATH-500,MMLU,License,Release Date
Baichuan,Baichuan2-13B-Chat,Baichuan AI,China,Chinese Open-Source,13B,13B,"7B, 13B",SFT + RLHF,Alignment,Early mover in Chinese bilingual open LLMs,Size-cascade,Baichuan2-13B,Baichuan2-7B,N/A,20,Not disclosed,N/A,N/A,59.2,Apache 2.0 + custom,Sep 2023
InternLM,InternLM2.5-20B-Chat,Shanghai AI Lab,China,Chinese Open-Source,20B,20B,"7B, 20B",SFT + RLHF,Alignment + tool-use,Strong math reasoning; MindSearch integration for web-scale info gathering,Size-cascade,InternLM2.5-20B,InternLM2.5-7B,N/A,30,Not disclosed,N/A,64.7,73.5,Apache 2.0 + custom,Jul 2024
GPT,GPT-4 / GPT-4o,OpenAI,US,Western Proprietary,Undisclosed (est. ~1.8T MoE),Undisclosed,GPT-4o-mini (API only),RLHF (PPO),Align behavior and reduce harm,"Scaled RLHF; reward model on human preferences; established RLHF as industry standard",Internal distillation for product tiers,GPT-4,GPT-4o-mini (proprietary),Not disclosed,35,Est. 50-100M GPU-hrs,~60% (est.),~90 (est.),~88,Proprietary,Mar 2023 / May 2024
Claude,Claude 3.5 / Claude 4,Anthropic,US,Western Proprietary,Undisclosed,Undisclosed,"Sonnet, Haiku (API only)",RLHF + Constitutional AI (RLAIF),Align behavior + safety + self-critique,AI-generated critiques replace human feedback at scale; principled alignment,Internal distillation for product tiers,Claude Opus-class,"Claude Sonnet, Claude Haiku (proprietary)",Not disclosed,40,Not disclosed,N/A,N/A,~88,Proprietary,Jun 2024 / Mar 2025
Gemini,Gemini 2.5 Pro,Google DeepMind,US,Western Proprietary,Undisclosed,Undisclosed,"Gemini Flash, Nano; Gemma (open)",RLHF,Align behavior,Multi-stage alignment; details undisclosed,Internal + open distillation to Gemma,Gemini Ultra/Pro,"Gemini Flash, Nano (proprietary); Gemma 3 (open)",Not disclosed,35,Not disclosed,N/A,N/A,N/A,Proprietary,Mar 2025
Llama,Llama 3.1 405B,Meta,US,Western Open-Source,405B,405B,"8B, 70B, 405B",SFT + Rejection Sampling + DPO (iterative multi-round),Alignment + instruction following,"Multiple iterative rounds of alignment; 405B used to improve post-training of smaller models; majority of SFT data is synthetic",Self-distillation via synthetic data generation,Llama 3.1 405B,"Llama 3.1 8B, Llama 3.1 70B",Synthetic SFT data (not traditional distillation),30,Est. 30.8M H100,~33% (est.),73.8,88.6,Llama Community License,Jul 2024
Llama,Llama 4 Maverick,Meta,US,Western Open-Source,400B,17B,"Scout 109B, Maverick 400B",RLHF,Alignment,128 experts MoE; 40T training tokens; native multimodality,N/A (MoE architecture scaling),N/A,N/A,N/A,30,Not disclosed,N/A,N/A,N/A,Llama Community License,Apr 2025
Gemma,Gemma 3 27B,Google DeepMind,US,Western Open-Source,27B,27B,"270M, 1B, 4B, 12B, 27B",Knowledge Distillation + SFT + RLHF,Transfer proprietary capabilities to open model,Knowledge distillation from larger Gemini models to open-weight smaller models,From proprietary Gemini to open Gemma,Gemini 2.0,"Gemma 3 27B, 12B, 4B, 1B, 270M",Not disclosed,25,Not disclosed,N/A,N/A,~75,Gemma Terms of Use,Mar 2025
Phi,Phi-4,Microsoft Research,US,Western Open-Source,14B,14B,14B,SFT + iterative DPO,Alignment + reasoning for small model,"Heavy synthetic data for reasoning; 'textbook-like' data for math, coding",N/A (single size),N/A,N/A,N/A,30,1920 H100 × 21 days (~967K GPU-hrs),N/A,80.4,84.8,MIT,Dec 2024
OLMo,OLMo 2/3,AI2,US,Western Open-Source,7B / 32B,7B / 32B,"7B, 32B",RLVR (RL with Verifiable Rewards),Reasoning via verifiable rewards,Domain-specific RL-Zero for math and code with verifiable correctness signals,N/A,N/A,N/A,N/A,30,Not disclosed,N/A,N/A,N/A,Apache 2.0,Dec 2025
Falcon,Falcon 3-10B,TII,UAE,Western Open-Source,10B,10B,"1B, 3B, 7B, 10B",SFT + alignment,Alignment,Regional focus (Middle East); GQA architecture,Size-cascade,Falcon 3-10B,"Falcon 3-1B, 3B, 7B",N/A,15,Not disclosed,N/A,22.1,73.9,Apache 2.0,Dec 2024
Mistral,Mistral Large 3,Mistral AI,France,Western Open-Source,675B,41B,N/A,SFT + DPO,Alignment,Granular MoE; enterprise-focused alignment,N/A,N/A,N/A,N/A,20,3000 H200 GPUs,N/A,N/A,N/A,Apache 2.0,Dec 2025
DBRX,DBRX-Instruct,Databricks,US,Western Open-Source,132B,36B,132B,SFT + alignment,Alignment,Enterprise RAG focus; fine-grained MoE,N/A,N/A,N/A,N/A,15,Not disclosed,N/A,N/A,N/A,Databricks Open Model License,Mar 2024
