AREA,SUB-SEGMENT,GLOBAL MARKET SIZE 2025 (USD bn),GLOBAL MARKET SIZE 2035E (USD bn),EU MARKET SIZE 2025 (USD bn),EU MARKET SIZE 2035E (USD bn),EU AS % OF GLOBAL (2025),EU AS % OF GLOBAL (2035E),EU REVENUE CAPTURED BY EU-HQ COMPANIES (USD bn 2025),EU REVENUE CAPTURED BY NON-EU COMPANIES (USD bn 2025),% CAPTURED BY EU COMPANIES,% CAPTURED BY NON-EU COMPANIES,KEY EU COMPANIES (Revenue 2025),KEY NON-EU COMPANIES (Share of EU Market),BASE CASE GROWTH EXPECTATIONS THROUGH 2035,WHAT EU NEEDS TO DO FOR SELF-RELIANCE BY 2035,SOURCE / NOTES

CLOUD,Cloud Infrastructure Services (IaaS/PaaS/Hosted Private Cloud),350.0,1200.0,87.0,300.0,24.9%,25.0%,13.1,73.9,15%,85%,"OVHcloud (~$1bn), SAP (~$1.7bn cloud infra), Deutsche Telekom/T-Systems (~$1.7bn), Scaleway, STACKIT, others (~$8.7bn)","AWS (~30%), Azure (~25%), Google Cloud (~15%); combined ~70% of EU cloud infra = ~$61bn","Cloud infra grows at ~13-15% CAGR to $1,000-1,400bn by 2035. AI workloads drive majority of incremental growth. EU market grows ~3.4x from $87bn to ~$300bn. EU provider market share unlikely to exceed 20% without massive intervention; US hyperscalers continue investing EUR 10bn/quarter in EU. Sovereign cloud segment grows fastest at 25-30% CAGR.","EU must implement CADA sovereignty framework (SEAL levels) and enforce mandatory risk assessments for public-sector cloud procurement. Must triple data centre capacity as planned. Should create interoperable EU cloud standards (GAIA-X evolution). Target: EU providers capture 25-30% of EU cloud market by 2035 (up from 15%). Sovereign cloud must reach EUR 100bn+ and become default for public sector. Open-source-first principle critical for reducing vendor lock-in.","Future Market Insights ($2,649bn global by 2035); Expert Market Research ($2,478bn); Synergy Research EU share data; CADA tripling target"

CLOUD,SaaS (Software as a Service),430.0,1800.0,86.0,360.0,20.0%,20.0%,8.6,77.4,10%,90%,"SAP ($8bn+ EU SaaS), Dassault Systemes, Sage, TeamViewer, others; ~10% of EU SaaS spend","Microsoft 365, Salesforce, Google Workspace, ServiceNow, Oracle; ~90% of EU SaaS spend","SaaS grows at ~15-16% CAGR to $1,500-2,000bn by 2035. AI-native SaaS (embedded LLMs, copilots) becomes dominant delivery model. EU market grows ~4x to ~$360bn. EU provider share remains under pressure at ~10% without structural change. Enterprise switching costs and ecosystem lock-in favour incumbents.","EU must invest in open-source AI-powered SaaS alternatives for critical government and enterprise functions. Should leverage EU Open Source Strategy and open-source-first procurement principle. SAP must maintain/grow EU market leadership in ERP. EU should nurture next-generation AI-native SaaS startups through public procurement and Chips Fund-type venture support. Target: 15-20% EU provider share by 2035. Self-reliance in SaaS is the hardest segment to achieve.","ResearchAndMarkets ($3.5T total cloud by 2035); SaaS ~50% of total cloud; EU share remains structurally challenged"

CLOUD,Sovereign Cloud Services,5.0,100.0,3.5,70.0,70.0%,70.0%,2.8,0.7,80%,20%,"OVHcloud, T-Systems, STACKIT, Scaleway, S3NS (Thales-Google JV); ~80% of EU sovereign cloud","AWS Sovereign Cloud (GA Jan 2026), Azure sovereign controls; ~20% via US sovereign offerings","Sovereign cloud grows at ~35% CAGR from small base to $80-120bn globally by 2035. EU is largest sovereign cloud market (70% of global). EU sovereign cloud projected to reach EUR 100bn by 2031, and continue growing. CIO demand strong: 60% of Western European CIOs want more local cloud providers. SEAL framework drives government adoption.","EU must fully implement CADA SEAL framework and make SEAL-3/SEAL-4 mandatory for sensitive public-sector workloads by 2028. Must ensure 4+ competitive EU sovereign cloud providers scale to EUR 10bn+ revenue each. Should standardise sovereign cloud APIs for portability. Must resolve S3NS-type hybrid arrangements (Thales-Google JV) - determine if these truly count as sovereign. Target: EU-controlled sovereign cloud captures 85%+ of EU public-sector cloud spend by 2035.","Broadcom sovereign cloud report; Precedence Research sovereign AI infra ($177bn by 2035); EC EUR180M tender precedent"

AI DATACENTERS,"Data Center Market (Total: colocation, hyperscale, enterprise)",270.0,900.0,69.0,230.0,25.6%,25.6%,17.3,51.8,25%,75%,"Equinix (US-HQ, ~$5bn EU rev), Digital Realty (US-HQ, ~$2bn EU rev), EU telecoms, Interxion; ~25% EU-HQ","AWS, Microsoft, Google build ~60% of new EU capacity; US-HQ operators dominate hyperscale segment","Global DC market grows at ~11-13% CAGR to $700-1,000bn by 2035. AI-dedicated capacity grows at 25%+ CAGR. EU data centre capacity triples per CADA target (from 3.6 GW to ~11 GW by 2033). Energy becomes binding constraint: grid capacity, renewable supply, and cooling technology are key bottlenecks. Secondary EU markets (Spain, Poland, Nordics) grow fastest.","EU must deliver CADA tripling target and resolve energy bottleneck through Strategic Roadmap for Digitalisation and AI in Energy. Must streamline permitting (12-month max under Chips Act 2.0 model). Should incentivise EU-HQ data centre operators to scale up. Must ensure new capacity uses EU-designed chips when available (linking CADA to Chips Act 2.0 demand side). Target: EU-HQ operators capture 35-40% of EU DC market by 2035 (up from 25%).","Spherical Insights ($988bn by 2035); SNS Insider ($882bn); Fortune BI; CADA tripling target; EU energy constraint analysis"

AI DATACENTERS,Data Center Colocation (EU only),N/A,N/A,24.1,106.0,N/A,N/A,6.0,18.1,25%,75%,"Interxion/Digital Realty (US-HQ), DATA4, AtosOrigin, EU telecoms; ~25% EU-HQ operators","Equinix (US), Digital Realty (US), CyrusOne (US), NTT (Japan) dominate EU colocation; ~75% non-EU HQ","EU colocation grows at ~12-15% CAGR to ~$100-110bn by 2035. AI and GPU workloads become >40% of colocation revenue. Wholesale colocation grows faster than retail as hyperscalers lease rather than build. Power density requirements increase from 10-15 kW/rack to 50-100+ kW/rack for AI. Liquid cooling becomes standard.","EU must develop EU-headquartered colocation champions through public procurement preferences and strategic project designation. Should require EU data sovereignty compliance for colocation hosting government/critical infrastructure workloads. Must invest in liquid cooling and high-density infrastructure R&D. Target: EU-HQ colocation operators capture 35% of EU market by 2035 (up from 25%).","NextMSC ($106bn EU colocation by 2035); Research & Markets; AI workload shift drives density and revenue growth"

AI DATACENTERS,AI Accelerator / GPU Market,160.0,750.0,16.0,90.0,10.0%,12.0%,0.0,16.0,0%,100%,No EU AI accelerator at scale; Axelera AI (<$50M) and SiPearl (<$20M) are early-stage,"NVIDIA (~80% share = ~$12.8bn EU), AMD (~7%), Google TPU, AWS Trainium, Broadcom ASICs","AI accelerator market grows at ~17-25% CAGR to $430-1,000bn by 2035. Inference overtakes training as primary spend driver (~65% by 2035). Custom ASICs grow fastest at 30%+ CAGR. NVIDIA share gradually erodes from ~80% to ~55-65% as competition broadens. EU consumption grows 5-6x with AI Gigafactory and data centre expansion.","EU must bring at least 2 EU-designed AI accelerators to volume production by 2032 (Axelera for inference, SiPearl for HPC, or new entrants). Requires preferential public procurement mandating EU silicon in sovereign AI infrastructure. EU foundry must support AI chip manufacturing. Should create RISC-V based open architecture for inference accelerators to avoid CUDA lock-in. Target: EU-designed accelerators capture 10-15% of EU consumption by 2035. Full self-reliance is not achievable; diversified sourcing is realistic goal.","Research & Markets ($1T by 2035); Kaiso Research ($432bn); SNS Insider ($746bn); inference shift analysis"

LLMs,"LLM Market (Models, APIs, Enterprise SW)",10.0,150.0,2.0,35.0,20.0%,23.3%,0.5,1.5,25%,75%,"Mistral AI ($400M ARR, ~60% from EU = ~$240M EU); Aleph Alpha (~$30M EU); others ~$230M","OpenAI (~29% share), Anthropic (~31% share), Google, Meta, xAI; ~75% of EU LLM spend goes to US providers","LLM market grows at ~34% CAGR to $150bn by 2035. Market shifts from general-purpose to domain-specific fine-tuned models. Open-weight models gain share vs. proprietary APIs. Inference costs decline 10x, democratising deployment. EU LLM market grows to ~$35bn as enterprise adoption reaches 80%+ penetration. Mistral targets $5-10bn revenue by 2030.","EU must ensure Mistral and other EU model developers reach frontier capability parity. Requires AI Gigafactory compute access for training next-generation models. Must implement open-source-first principle for public-sector AI procurement (CADA). Should fund multilingual EU-specific model development for all 24 official languages. Must build EU model evaluation and safety framework. Target: EU-developed models serve 35-40% of EU LLM market by 2035 (up from 25%).","Precedence Research ($150bn by 2035); Roots Analysis ($180bn); Mistral revenue trajectory; enterprise AI adoption curves"

LLMs,AI Infrastructure Spend (Training + Inference Compute),581.7,2500.0,58.0,300.0,10.0%,12.0%,5.8,52.2,10%,90%,"EuroHPC (EUR7bn budget), Mistral Compute JV, EU national AI compute; ~10% of EU AI infra spend is EU-controlled","NVIDIA, US hyperscalers (AWS/Azure/GCP), AMD provide ~90% of EU AI compute infrastructure","Global AI infrastructure spending grows at ~16% CAGR to $2,000-3,000bn by 2035. Inference infrastructure overtakes training by 2028-2030. Edge AI inference grows at 25%+ CAGR. EU AI infra spend grows 5x to ~$300bn. Currently 90% flows through US platforms; CADA and Chips Act 2.0 aim to redirect significant portion toward EU-controlled infrastructure.","EU must operationalise AI Gigafactories (75,000+ accelerators each) by 2028-2030 as planned. Must build sovereign AI compute layer using EU-designed chips when available. Requires EuroHPC expansion and new Mistral Compute-type JVs. Must train EU workforce in AI infrastructure operations. Should mandate that public-funded AI research uses EU-hosted compute. Target: 25-30% of EU AI infrastructure spend flows through EU-controlled platforms by 2035 (up from 10%).","Gartner ($2.52T total AI spending in 2026); projected CAGR through 2035; CADA and AI Gigafactory programme targets"

QUANTUM,"Quantum Computing (Hardware, Software, Services)",1.9,20.0,0.48,5.0,25.0%,25.0%,0.20,0.28,42%,58%,"IQM ($36M / ~EUR31M global), Pasqal (EUR16.5M commercial), AQT, QuiX (~$10M combined); ~42% EU-HQ share of EU market","IBM Quantum, Google, Amazon Braket, IonQ ($130M global), Quantinuum, D-Wave; ~58% of EU quantum spend","Quantum computing grows at ~27-35% CAGR to $19-46bn by 2035. Fault-tolerant quantum computing expected to emerge by early 2030s. Quantum-as-a-Service becomes dominant delivery model. Pharma, finance, logistics and materials science are first commercial verticals. EU maintains ~25% of global market with strong hardware diversity.","EU must scale IQM, Pasqal, AQT, and QuiX from pilot-line prototypes to commercial-grade production by 2030. Requires Quantum Act coordination with Chips Act 2.0 (shared foundry infrastructure). Must build EU quantum cloud platform to counter IBM/Amazon/Google/Azure dominance. Should industrialise all 6 quantum pilot lines and select 2-3 for commercial fab. Target: EU-HQ companies capture 50%+ of EU quantum market by 2035 (up from 42%).","Precedence Research ($19.4bn by 2035); Vantage ($45.6bn); SNS Insider ($18.9bn); QED-C 2026 Report; Europe ~25% share maintained"

QUANTUM,Quantum Sensing & Communications,0.47,3.0,0.14,0.90,30.0%,30.0%,0.08,0.06,57%,43%,"ID Quantique (Swiss), Thales, Airbus Defence, EU quantum startups; ~57% EU-HQ share","US defence contractors, Toshiba (Japan) in QKD; ~43% non-EU","Quantum sensing grows at ~20% CAGR to $2-4bn by 2035. QKD networks expand as PQC threat drives adoption. Quantum sensors deployed in healthcare (MRI), defence (submarine detection), and infrastructure monitoring. EU has strong academic and industrial base, especially in QKD and atomic sensors.","EU must commercialise QKD technology for critical infrastructure (telecoms, finance, government). Should build pan-EU quantum-secured communication network by 2035 (EuroQCI initiative). Must support quantum sensor startups in navigating defence procurement. Leverage EU strength in photonics (PIXEurope) for integrated quantum sensing chips. Target: EU-HQ companies capture 65%+ of EU quantum sensing/comms market by 2035 (up from 57%).","QED-C 2026 Report (sensing grows to $1.1bn by 2028); projected 2035 based on continued 18-20% CAGR"

QUANTUM,Cryogenic & Quantum Enabling Equipment,0.30,1.5,0.15,0.75,50.0%,50.0%,0.12,0.03,80%,20%,"Bluefors (Finland, global leader in dilution refrigerators ~$100M+), EU cryo/control electronics startups; ~80% EU-HQ","US enabling tech companies; ~20% non-EU","Cryogenic and enabling equipment grows at ~17% CAGR to $1-2bn by 2035 as quantum computing scales. Dilution refrigerator demand grows with every new quantum system deployment. Control electronics and interconnect markets emerge as quantum processors scale beyond 1000 qubits. EU maintains strong position through Bluefors dominance.","EU must maintain Bluefors leadership and expand into adjacent enabling technologies (cryogenic CMOS, photonic interconnects, modular packaging). Chips JU quantum-enabling calls must fund industrialisation not just R&D. Should create EU supply chain for helium-3 (critical for cryogenics). Must develop EU-based quantum control electronics stack. Target: EU-HQ companies maintain 80%+ of EU enabling equipment market and capture 60%+ of global market.","Industry estimates; Bluefors dominance; Chips JU EUR 20m quantum-enabling call; market scales with quantum system deployments"
