Source ID,Publisher,Title,URL,Accessed
S19,Stripe blog / Stripe docs / agenticcommerce.expert / GitHub,Stripe Agentic Commerce Suite + ACP,http://www.stripe.com/blog/agentic-commerce-suite,2026-04-17
S20,Anthropic / Economic Times / ETCFO / ClaudeReadiness,Claude for Financial Services + Goldman Sachs deployment,https://www.anthropic.com/solutions/financial-services,2026-04-17
S21,Adyen / Major Matters,Adyen agentic-commerce strategy + Universal Token Vault,https://www.adyen.com/knowledge-hub/adyen-joins-agentic-ai-foundation,2026-04-17
S22,FIS press / Temenos,FIS agentic commerce platform + Temenos FCM AI Agent,https://www.fisglobal.com/about-us/media-room/press-release/2026/fis-launches-industry-first-ai-transaction-platform-to-help-banks-lead,2026-04-17
S23,Synchrony Newsroom,Synchrony agentic-commerce strategy,https://www.synchrony.com/contenthub/insights/blog-post-by-mike-storiale.html,2026-04-17
S24,Markets Insider (Bernstein note),"Bernstein bullish on Fiserv, Block, Adyen for agentic commerce",https://markets.businessinsider.com/news/stocks/fiserv-block-and-adyen-here-s-why-bernstein-is-bullish-on-these-3-fintech-stocks-1035185068,2026-04-17
S25,OpenAI / ad-hoc-news / myaskai / Klarna,Klarna AI assistant plus 2026 reversal coverage,https://www.ad-hoc-news.de/boerse/news/ueberblick/klarna-s-ai-pivot-reversing-course-after-customer-service-setbacks/69026000,2026-04-17
S26,FStech / FinTech Weekly / Marcel van Oost / Fintyle,"Nubank, Revolut AIR, Starling Assistant, Monzo coverage",https://www.fintechweekly.com/news/revolut-air-ai-assistant-uk-customers-launch-2026,2026-04-17
S27,Brex.ai / Ramp blog / Stack-ai,Brex Agents + Ramp agentic AP and expense,https://www.brex.ai/,2026-04-17
S28,SiliconANGLE / aihaberleri / theoutpost / stacks.ai / uktech.news,"2026 agentic-AI fintech funding rounds (Slash, Dyna.Ai, Stacks, EnFi, Ralio)",https://siliconangle.com/2026/04/16/slash-raises-100m-1-4b-valuation-expand-ai-powered-banking-platform-online-businesses/,2026-04-17
S29,Hebbia / V7Labs / CB Insights,"Hebbia, Glean, Harvey product + funding profiles",https://www.hebbia.com/blog/whats-new-april-disclosure-2026,2026-04-17
S30,Fenergo / Bretton / Stack-ai / dev.to,Compliance / financial-crime agentic vendors,https://fenergo.com/agentic-ai-agents,2026-04-17
S31,KX / NVIDIA On-Demand / NVIDIA blog,KX agentic AI blueprints + Capital One GTC 2026 talk + NVIDIA FS survey,https://kx.com/news-room/kx-launches-agentic-ai-blueprints-powered-by-nvidia-at-gtc-2026-featuring-a-capital-markets-research-assistant-and-trading-signal-agent/,2026-04-17
S32,Coinbase / Linux Foundation / Crossmint / aiagentstore,x402 protocol launch + Skyfire / Crossmint comparison,https://blog.crossmint.com/what-is-x402/,2026-04-17
S33,Microsoft Learn / Microsoft Industry Blog / myabt / Microsoft Adoption,Microsoft Finance Agents + Agent 365 + Copilot for FS,https://www.microsoft.com/en-us/industry/blog/financial-services/banking/2026/02/26/the-agentic-moment-in-banking-a-blueprint-for-better-customer-experiences/,2026-04-17
S34,Google Cloud / Promevo / ScaleByTech,Gemini Enterprise (Agentspace) for banking,https://cloud.google.com/products/agentspace,2026-04-17
S35,Google / Adyen / Crossmint,Universal Commerce Protocol (UCP) + Agent Payments Protocol (AP2),https://www.crossmint.com/learn/agentic-payments-protocols-compared,2026-04-17
S36,OpenAI / OpenAI Developers / Ekamoira,ChatGPT Instant Checkout + Agentic Commerce Protocol,https://openai.com/index/buy-it-in-chatgpt/,2026-04-17
S37,Salesforce / Vantage Point,Agentforce for Financial Services,https://www.salesforce.com/financial-services/artificial-intelligence/,2026-04-17
