model,developer,class,first_party_harness,third_party_harness_compatibility,builtin_tools,input_modalities,function_calling,parallel_tool_calls,structured_outputs,reasoning_controls,context_tokens,weekly_tokens,notes
NVIDIA: Nemotron 3 Ultra,NVIDIA,open-weights,NVIDIA API / NIM; NeMo Gym ships out-of-the-box harnesses (incl. Claude Code and Hermes) for eval/training,"OpenAI-compatible endpoints; runs in standard open harnesses (OpenHands, mini-SWE-agent)","Function calling, structured outputs; tuned for TauBench-style conversational tool use (V3 avg 70.9); MCP via harness",text,True,False,True,True,1000000,3316038765601,Optimized for high-throughput agentic serving (300+ tok/s on Blackwell).
Qwen: Qwen3.7 Max,Alibaba (Qwen),closed,Qwen Chat; DashScope / Model Studio API,Native OpenAI + Anthropic API compatibility (works in Claude Code / Codex-style harnesses),"Function calling, extended thinking with preserve_thinking across turns, prompt caching; MCP (leads MCP-Mark per Alibaba); 35h autonomous kernel-optimization run (1,158 tool calls) reported",text,True,False,True,True,1000000,162911604779,Agent-first positioning; API-only.
Xiaomi: MiMo-V2.5,Xiaomi,open-weights,Xiaomi AI Studio; MiMo API (Token Plans),OpenAI-compatible; SGLang/vLLM ship a dedicated 'mimo' tool-call parser for self-hosting,Function calling; omnimodal input (text+image+audio+video) usable inside tool loops; MCP,audio+image+text+video,True,False,True,True,1048576,8676656451532,Highest-volume open model on OpenRouter after Hy3; ~110M tool calls/week.
Tencent: Hy3,Tencent,open-weights,Tencent Yuanbao apps; Tencent Cloud API,"OpenAI-compatible; hosted by GMICloud, Novita, DeepInfra, SiliconFlow etc.","Function calling, structured outputs; MCP via harness",text,True,False,True,True,262144,9789999099848,"Free promo tier drove ~140M tool calls/week at peak; 295B/21B MoE (192 experts, top-8)."
Google: Gemini 3 Flash Preview,Google,closed,Gemini CLI; AI Studio; Vertex AI Agent Builder,Vertex/AI Studio APIs; Gemini CLI is open-source,"Google Search grounding, code execution, URL context, function calling; MCP",audio+file+image+text+video,True,False,True,True,1048576,947095724274,Google's high-volume agentic workhorse tier.
Google: Gemini 3.1 Pro Preview,Google,closed,Gemini CLI; AI Studio; Vertex AI,Same Google API surfaces,"Google Search grounding, code execution, computer use (preview), function calling; MCP",audio+file+image+text+video,True,False,True,True,1048576,187952969447,Tops hard-reasoning benchmarks (GPQA 94.3) but trails on agentic harness benchmarks (Terminal-Bench 74.0).
xAI: Grok 4.5,xAI,closed,Grok Build (xAI's coding-agent harness); Grok apps / X integration,OpenAI-compatible xAI API,"Real-time X/web search, code execution, function calling; MCP",file+image+text,True,False,True,True,500000,336085799788,AA benchmarks it as the Grok 4.5 + Grok Build pair (ties Sol on SWE-Atlas-QnA).
Meta: Llama 4 Maverick,Meta,open-weights,None (no first-party agent product); Meta AI consumer apps use tuned variants,"Served by 20+ clouds; used in open harnesses (OpenHands, custom agents)",Function calling and structured outputs only - no reasoning-effort controls exposed (pre-reasoning-era design),image+text,True,False,True,False,1048576,34890889531,2025-generation model; still significant volume as a cheap workhorse.
OpenAI: gpt-oss-120b,OpenAI,open-weights,None first-party; reference Harmony chat format,Runs in most open harnesses; served by 20 providers,"Function calling, structured outputs, reasoning effort controls; browser/python tool support in the Harmony format",text,True,False,True,True,131072,565669378056,OpenAI's open-weights line (Apache 2.0); no first-party agent product.
StepFun: Step 3.7 Flash,StepFun,open-weights,StepFun API / apps,OpenAI-compatible,"Function calling, structured outputs, reasoning; video input; MCP via harness",image+text+video,True,False,True,True,256000,893527077750,Budget agentic tier; 894B tokens/week on OpenRouter.
