sector,company,offering,description,revenue_basis,annualized_revenue_usd_m,revenue_as_of,growth_trajectory,valuation_usd_b,valuation_note,pricing_model,scale_metrics,token_metrics,confidence,in_sector_aggregate,source_ids
Legal,Harvey,Harvey,"Legal AI agents: research, contract review, document analysis, drafting",ARR (reported),300,Mid-2026,$50M end-2024 -> $190M Jan 2026 (~4x YoY) -> ~$300M mid-2026,11,"Mar 2026 raise ($200M, GIC/Sequoia); up from $8B late 2025",Per-seat + enterprise contracts (7-figure ACVs),"100K+ lawyers; 1,300+ organizations",,Press-reported,Yes,"11, 12, 39"
Healthcare,OpenEvidence,OpenEvidence,AI clinical decision support / evidence search for clinicians,ARR (reported),300,"Jul 21, 2026",$50M 2025 -> $150M ~Dec 2025 -> $300M Jul 2026 (7.1 months to double),12,Jan 2026 Series D ($250M),Free to clinicians; monetization via sponsors/enterprise,860K clinician users; used by ~40% of US physicians; 16.5M clinical consultations/month (2025),,Press-reported,Yes,14
Healthcare,Abridge,Abridge,Ambient clinical documentation (AI scribe) with deep Epic integration,ARR (Sacra estimate),100,May 2025,$60M end-2024 -> $100M May 2025; contracted ARR $117M Q1 2025,5.3,"Jun 2025 Series E ($300M, a16z) + $316M extension Apr 2026","~$208/mo (~$2,500/clinician/yr enterprise)","~30% ambient-scribe market share; 250+ health systems (Kaiser, Mayo, Hopkins, Duke)",,Analyst estimate (Sacra),Yes,"13, 15, 16, 38"
Healthcare,Hippocratic AI,Hippocratic Agents,"Patient-facing healthcare agents (pre-op, discharge, chronic-care outreach)",Annual revenue (reported),76,2026,115M+ patient interactions completed,3.5,Late 2025 Series C ($126M),Custom enterprise (per-agent-hour model),"50+ health-system, payor and pharma partners across 6 countries",,Press-reported,Yes,"16, 39"
Healthcare,Ambience Healthcare,Ambience,Ambient documentation + coding for multi-specialty health systems,ARR (analyst estimate),30,May 2025,Unicorn ($1.25B) in 2025,1.25,2025 round,"Custom, est. $250+/clinician/mo",,,Analyst estimate,Yes,"15, 16, 38"
Financial services,Rogo,Rogo (Felix),"Agentic AI analyst for investment banking: models, comps, memos, pitchbooks, CIMs",ARR (analyst-inferred range $50-100M; midpoint shown),75,Mid-2026,$2M 2024 -> $15M+ 2025 (disclosed); >50% QoQ ARR growth entering mid-2026,2,"Apr 2026 Series D ($160M, Kleiner Perkins)",Enterprise seats (single-tenant deployments),"35K+ professionals; 300+ institutions (Lazard, Jefferies, Moelis, Rothschild, Nomura, Baird); 50K+ queries/day",,Analyst-inferred (ARR not disclosed),Yes,"33, 34"
Financial services,Hebbia,Hebbia Matrix,"Multi-document agentic analysis for finance, legal, PE diligence",ARR (reported),24.6,Late 2025,,0.7,2024 Series B (a16z); $161M total funding,Enterprise contracts,,,Press-reported,Yes,34
Financial services,AlphaSense,AlphaSense (agentic research),Market-intelligence search adding agentic research workflows (partially agentic),ARR (reported),200,2026,,4,2026 private mark,Enterprise subscriptions,"10,000+ content sources",,Press-reported; partially agentic (flagged),Yes,34
Enterprise platform agents,Salesforce,Agentforce,"CRM-native agent platform (service, sales, IT) with Atlas reasoning engine",ARR (company-disclosed),1200,Q1 FY2027 (qtr ended Apr 2026),$800M Q4 FY2026 (+169% YoY) -> $1.2B Q1 FY2027 (+205% YoY); total AI+Data ARR $3.4B,,Public (NYSE: CRM),$2/conversation + Flex Credits ($500 per 100K credits),"18,500+ customers (9,500+ paid); 4M autonomous inquiries on Salesforce's own support in 15 months",28.6T tokens processed in Q1 FY2027 (+152% QoQ); 3.8B agentic work units delivered,Company-disclosed,Yes,"17, 18, 19, 20"
Enterprise platform agents,ServiceNow,Now Assist / AI Agents,"Workflow-native agents for ITSM/ESM (Agent Fabric, AI Control Tower)",ACV (reported),1000,Mid-2026,AI portfolio anchored by Now Assist reached $1B ACV,,Public (NYSE: NOW),Bundled in Pro Plus / Enterprise Plus tiers (20-40% uplift at renewal) + message packs,Gartner #1 for building/managing AI agents (2025),,Press-reported,Yes,"19, 20"
Enterprise platform agents,Microsoft,M365 Copilot + Agent 365 + Copilot Studio,Productivity copilot evolving to autonomous 'Autopilots'; agent governance via Agent 365,Not disclosed (excluded from aggregates),,Q4 FY26 (Jun 2026),"Seats: 15M Q2 -> 20M Q3 -> 30M+ Q4 FY26; at $30/user/mo list, implies up to ~$10.8B annualized before discounts (not disclosed)",,Public (NASDAQ: MSFT),$30-$99/user/mo seats; Copilot Studio $200/mo per 25K credits or $0.01/credit PAYG,30M+ paid M365 Copilot seats; Agent 365: ~40M registered agents within 2 months of launch,Azure AI Foundry: 100K customers; customers at 1T-token annualized run-rate up 4x YoY,Seats disclosed; revenue not disclosed,No (revenue n/d),"36, 37, 19, 20"
Enterprise platform agents,Glean,Glean Assistant + Agents,Enterprise knowledge graph powering search and agentic workflows,ARR / annualized run-rate (company-disclosed),300,May 2026,$100M Feb 2025 -> $300M May 2026 (3x in 15 months),7.2,Jun 2025 Series F ($150M),Consumption-based + hybrid (fixed per-active-user + usage),"Customers: Databricks, Reddit, Pinterest, Samsung",Sells token-cost reduction: context graph cuts tokens consumed by connected AI,Company-disclosed,Yes,35
General-purpose & consumer agents,Perplexity,Comet (agentic browser) + Perplexity,Agentic browser and answer engine with multi-agent orchestration (company-wide figure),"Annualized revenue (reported, company-wide)",500,Apr 2026,,,,Subscriptions (Pro/Max) + enterprise,,,Press-reported; company-wide (not agent-only),Yes,30
General-purpose & consumer agents,Genspark,Genspark Super Agent,All-in-one agentic workspace for search/productivity using multiple frontier models,ARR (reported),100,2026,$50M ARR in first 5 months,1.6,2026 round,Subscription + credits,,,Press-reported,Yes,"11, 39"
General-purpose & consumer agents,Manus (Butterfly Effect),Manus,"Consumer general-purpose agent: browser control, research, integrations",Annualized revenue (press estimate),90,Aug 2025,Launched Mar 2025,,,Credit-based subscriptions,,,Press estimate (dated),Yes,30
General-purpose & consumer agents,OpenAI,ChatGPT Agent / Agents platform (memo),Deep research + computer use + AgentKit; memo row to avoid double-counting Codex,Memo: agents >40% of enterprise revenue (Feb 2026); enterprise >50% of $40B run-rate (Aug 2026) implies ~$8B+ agent revenue incl. Codex,,Aug 2026,"ChatGPT for Work: 7M+ seats (Feb 2026, +40% in 2 months); paying business users ~9M; internal forecast ~$29B agent revenue by 2029",,IPO planned,Seats + usage; per-task fees emerging,,,Derived (memo only),No (memo; overlaps Codex),"31, 32"
Model providers (memo - not summed),OpenAI,Company total,"Full company run-rate; agentic products (Codex, agents) are the fastest-growing segment",Annualized run-rate (Bloomberg/CNBC-confirmed),40000,Aug 2026,~$20B end-2025 -> $40B+ Aug 2026 (+20% MoM in July); enterprise >50% of mix; ads ~$1B run-rate,,IPO planned,"Subscriptions, API usage, ads",800M+ weekly ChatGPT users; 20M WAU coding/work products,"API: >6B tokens/min (Oct 2025 DevDay) = ~260T tokens/month, excl. ChatGPT",Confirmed by Bloomberg/CNBC,No (memo),"29, 30, 31"
Model providers (memo - not summed),Anthropic,Company total,Full company run-rate; Claude Code is ~22% of tracked ARR; enterprise API 80-85% of mix,Annualized run-rate (Bloomberg via internal docs),65000,End of July 2026,"$14B Feb 2026 -> $65B Jul 2026; Q2 2026 revenue $11.5B (> OpenAI's quarter, first time); first positive operating income",380,Feb 2026 Series G post-money,"API usage, subscriptions",34.4% of B2B market vs OpenAI 32.3% (Jul 2026),Token throughput not disclosed; Barclays sees Anthropic leading enterprise inference tokens,Bloomberg-reported,No (memo),6
Model providers (memo - not summed),Google,Gemini (platform total),Agentic revenue not broken out; included for token-scale context,Not broken out,,May 2026,,,Public (NASDAQ: GOOGL),"API usage, subscriptions, ads",8.5M developers building with Gemini monthly,3.2 quadrillion tokens/month across products (May 2026); Gemini models ~22B tokens/min (~1 quadrillion/month) Q2 2026,Company-disclosed (tokens),No (memo),"21, 22, 23"
