id,publisher,title,url
14,ARR Club,"OpenEvidence ARR, Revenue Growth & Milestones ($300M ARR Jul 2026)",https://www.arr.club/openevidence
15,Information Matters,Agentic AI in Healthcare 2026 (sector sizing $4.3-7.1B; central ~$5.5B),https://informationmatters.net/wp-content/uploads/2026/05/agentic-ai-healthcare-2026-v13.pdf
16,Value Add VC,"Best AI Tools for Healthcare in 2026 (Abridge, Hippocratic, Ambience pricing)",https://valueaddvc.com/blog/best-ai-tools-for-healthcare-in-2026-options-ranked-by-pricing-and-compliance
17,CX Today,Agentforce Crosses $1B ARR; 28.6T tokens processed in Q1 FY2027,https://www.cxtoday.com/contact-center/agentforce-hits-1-billion-arr-ai-agents-customer-service/
18,Customer Experience Magazine,"Salesforce Q1 FY2027: Agentforce ARR $1.2B, +205% YoY",https://cxm.world/customer-experience/salesforces-ai-agents-now-handle-double-the-volume-of-its-human-ones/
19,TURION.AI,Enterprise Agent Platforms: Salesforce vs ServiceNow vs Microsoft (June 2026 pricing),https://turion.ai/blog/enterprise-agent-platforms-comparison-june-2026/
20,AgentMarketCap,Salesforce Agentforce vs Microsoft Copilot: Enterprise Agent Platform War (Apr 2026),https://agentmarketcap.ai/blog/2026/04/13/salesforce-agentforce-vs-microsoft-copilot-enterprise-agent-platform-war-2026
21,ChatForest,Google Is Processing 3.2 Quadrillion Tokens a Month (I/O 2026),https://chatforest.com/builders-log/google-3-2-quadrillion-tokens-ai-scale-economics/
22,Trending Topics,Open-Weight Models from China Are Capturing a Growing Share of AI Usage (router token volumes),https://www.trendingtopics.eu/open-weight-models-from-china-are-capturing-a-growing-share-of-ai-usage/
23,Beth Kindig / I/O Fund,AI Token Demand Is Shattering Forecasts (~370T tokens/day industry-wide),https://beth-kindig.medium.com/ai-token-demand-is-shattering-forecasts-ec8831df6c99
24,Vercel,"DeepSeek Overtakes Google on Volume; Cost per Token Falls (AI Gateway, July 2026)",https://vercel.com/blog/deepseek-overtakes-google-on-volume-cost-per-token-falls
25,OpenRouter,DeepSeek V4 Is Earning Agentic Token Share (agentic ~15x tokens per request),https://openrouter.ai/blog/insights/deepseek-v4-adoption/
26,OpenRouter,State of AI 2025: 100T Token LLM Usage Study,https://openrouter.ai/state-of-ai
27,OpenRouter,App & Agent Rankings (token volume by app),https://openrouter.ai/apps
28,Fabryka,OpenRouter Apps - Demand Research (app-level token share),https://ort.fabryka.ai/apps.html
29,Bloomberg,"OpenAI's Revenue Run Rate Tops $40 Billion Ahead of IPO (Aug 13, 2026)",https://www.bloomberg.com/news/articles/2026-08-13/openai-s-revenue-run-rate-tops-40-billion-ahead-of-ipo
30,Sacra,"OpenAI revenue, valuation & funding ($40B annualized July 2026)",https://sacra.com/c/openai/
31,CNBC,"OpenAI CFO Friar: enterprise now majority of revenue (Aug 14, 2026)",https://www.cnbc.com/2026/08/14/openai-cfo-friar-tells-investors-that-enterprise-bigger-than-consumer.html
32,Karsane,"OpenAI Says Agents Top 40% of Enterprise Revenue (~$25B annualized, Feb 2026)",https://karsane.com/article/openai-commercial-expansion-agents-40-percent-revenue
33,Contrary Research,Rogo Business Breakdown ($2M 2024 -> $15M+ 2025; 50%+ QoQ growth mid-2026),https://research.contrary.com/company/rogo
34,THE DAILY BRIEF (beri.net),Rogo's $160M Series D at ~$2B; Hebbia and AlphaSense comparables (Apr 2026),https://www.beri.net/article/rogo-160m-series-d-investment-banking-ai-agents-2026
35,TechCrunch,"Glean's top line crosses $300M ARR (May 28, 2026)",https://techcrunch.com/2026/05/28/gleans-top-line-crosses-300m-as-ai-budget-cutting-becomes-its-major-selling-point/
36,Microsoft,FY2026 Q4 Earnings Call (30M+ M365 Copilot seats; Foundry token run-rates; GitHub Copilot),https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q4
37,LicenseQ,"Microsoft FY26 Q4 Results Explained (Copilot seats, Agent 365, Foundry)",https://licenseq.com/microsoft-fy26-q4-results-explained/
38,Presenc AI,Medical AI Tools Landscape 2026 (ambient scribes ~$600M 2025 revenue),https://presenc.ai/research/medical-ai-tools-landscape-2026
39,AI Funding Tracker,Top AI Agent Startups 2026 (Funding & Valuation),https://aifundingtracker.com/top-ai-agent-startups/
40,THE DAILY BRIEF (beri.net),Why SpaceX Paid $60B for Cursor: $4B ARR (June 2026),https://www.beri.net/article/spacex-cursor-60b-acquisition-2026
